USPS	GEOID	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                        
IA	19037	State Senate District 37	79542714	59842	30.712	0.023	42.033739	-91.596314                                                                                                                      
IA	19038	State Senate District 38	1188136693	11152602	458.742	4.306	42.287552	-92.308037                                                                                                                
IA	19039	State Senate District 39	151268540	1822436	58.405	0.704	41.92533	-91.664514                                                                                                                    
IA	19040	State Senate District 40	83674734	1605687	32.307	0.62	42.025195	-91.69494                                                                                                                      
IA	19041	State Senate District 41	2285344668	13318014	882.377	5.142	41.707655	-91.043926                                                                                                                
IA	19042	State Senate District 42	3099350589	20944294	1196.666	8.087	42.075335	-91.817311                                                                                                               
IA	19043	State Senate District 43	336965023	9529405	130.103	3.679	41.753041	-91.501655                                                                                                                  
IA	19044	State Senate District 44	5116364754	23635939	1975.44	9.126	41.102663	-92.108176                                                                                                                
IA	19045	State Senate District 45	59114345	1006349	22.824	0.389	41.646228	-91.515277                                                                                                                    
IA	19046	State Senate District 46	4183746641	23560976	1615.354	9.097	41.54895	-91.82146                                                                                                                 
IA	19047	State Senate District 47	244315836	8081507	94.331	3.12	41.618829	-90.52446                                                                                                                     
IA	19048	State Senate District 48	3469117780	95309904	1339.434	36.799	41.170555	-91.27162                                                                                                               
IA	19049	State Senate District 49	120795121	8248431	46.639	3.185	41.502984	-90.656788                                                                                                                   
IA	19050	State Senate District 50	1628697216	64254020	628.844	24.809	40.669949	-91.436807                                                                                                               
KS	20001	State Senate District 1	9896621688	49392136	3821.107	19.07	39.649499	-95.744354                                                                                                                
KS	20002	State Senate District 2	107767134	3517793	41.609	1.358	38.981502	-95.234251                                                                                                                    
KS	20003	State Senate District 3	3348903197	82194270	1293.019	31.735	38.716785	-95.559311                                                                                                               
KS	20004	State Senate District 4	99708737	3475414	38.498	1.342	39.137995	-94.68772                                                                                                                      
KS	20005	State Senate District 5	320386724	7140587	123.702	2.757	39.209301	-94.886621                                                                                                                   
KS	20006	State Senate District 6	126812061	3411834	48.962	1.317	39.076647	-94.710876                                                                                                                    
KS	20007	State Senate District 7	55269876	97597	21.34	0.038	39.001005	-94.640602                                                                                                                        
KS	20008	State Senate District 8	58227050	182522	22.482	0.07	38.93121	-94.68549                                                                                                                         
KS	20009	State Senate District 9	1128805822	20018600	435.834	7.729	38.982364	-95.045072                                                                                                                 
KS	20010	State Senate District 10	143933409	3239689	55.573	1.251	39.006087	-94.819397                                                                                                                   
KS	20011	State Senate District 11	134305791	1235585	51.856	0.477	38.834153	-94.645852                                                                                                                   
KS	20012	State Senate District 12	10389573185	178281779	4011.437	68.835	38.089679	-95.380501                                                                                                            
KS	20013	State Senate District 13	4695126941	31927946	1812.799	12.327	37.519333	-94.850074                                                                                                              
KS	20014	State Senate District 14	11918222763	104839047	4601.652	40.479	38.149922	-96.843888                                                                                                            
KS	20015	State Senate District 15	8141920609	88092826	3143.613	34.013	37.313832	-95.779996                                                                                                              
KS	20016	State Senate District 16	802601326	2276605	309.886	0.879	37.759724	-97.126132                                                                                                                  
KS	20017	State Senate District 17	4992130487	91765140	1927.472	35.431	38.652433	-96.455341                                                                                                              
KS	20018	State Senate District 18	3707359904	126472136	1431.42	48.831	39.427561	-96.342135                                                                                                              
KS	20019	State Senate District 19	234553415	8236844	90.562	3.18	39.033461	-95.492812                                                                                                                    
KS	20020	State Senate District 20	2498238947	21289329	964.575	8.22	38.954288	-96.134991                                                                                                                 
KS	20021	State Senate District 21	74244492	363185	28.666	0.14	38.967824	-94.748652                                                                                                                      
KS	20022	State Senate District 22	1579010807	32092080	609.66	12.391	39.29121	-96.727488                                                                                                                 
KS	20023	State Senate District 23	159649001	1472132	61.641	0.568	38.797916	-94.810807                                                                                                                   
KS	20024	State Senate District 24	4059314589	15393360	1567.31	5.943	38.834893	-97.381756                                                                                                                
KS	20025	State Senate District 25	53569057	961580	20.683	0.371	37.676533	-97.330867                                                                                                                     
KS	20026	State Senate District 26	1235942921	9381253	477.2	3.622	37.626441	-97.596849                                                                                                                   
KS	20027	State Senate District 27	90306950	3218680	34.868	1.243	37.739624	-97.453645                                                                                                                    
KS	20028	State Senate District 28	111052099	4251340	42.877	1.641	37.59274	-97.309958                                                                                                                    
KS	20029	State Senate District 29	57617075	501292	22.246	0.194	37.712764	-97.304182                                                                                                                     
KS	20030	State Senate District 30	305732583	2379165	118.044	0.919	37.565142	-97.23643                                                                                                                   
KS	20031	State Senate District 31	1893090264	12297380	730.926	4.748	37.991624	-97.438672                                                                                                                
KS	20032	State Senate District 32	9002050932	33735178	3475.711	13.025	37.265806	-97.333572                                                                                                              
KS	20033	State Senate District 33	22128207565	54193545	8543.749	20.924	38.108559	-99.027146                                                                                                             
KS	20034	State Senate District 34	8424717884	57320920	3252.802	22.132	37.585632	-98.310955                                                                                                              
KS	20035	State Senate District 35	127507666	1500199	49.231	0.579	38.820728	-94.728912                                                                                                                   
KS	20036	State Senate District 36	26756899916	192138266	10330.897	74.185	39.468171	-98.209601                                                                                                           
KS	20037	State Senate District 37	888276126	27833324	342.965	10.747	38.705585	-94.860719                                                                                                                
KS	20038	State Senate District 38	15532222176	16770533	5997.025	6.475	37.532494	-100.226844                                                                                                             
KS	20039	State Senate District 39	22826002906	8685097	8813.169	3.353	37.966482	-101.298698                                                                                                              
KS	20040	State Senate District 40	33647937485	44087575	12991.542	17.022	39.327246	-100.693967                                                                                                           
KY	21001	State Senate District 1	6215106136	416177579	2399.666	160.687	36.629264	-88.372237                                                                                                             
KY	21002	State Senate District 2	3368096539	318036365	1300.429	122.795	37.023876	-88.618682                                                                                                             
KY	21003	State Senate District 3	3962099580	56504294	1529.775	21.816	37.035818	-87.470677                                                                                                               
KY	21004	State Senate District 4	4282421627	169344337	1653.452	65.384	37.541082	-87.666762                                                                                                              
KY	21005	State Senate District 5	6184712665	157468073	2387.931	60.799	37.564841	-86.521188                                                                                                              
KY	21006	State Senate District 6	915708339	48857969	353.557	18.864	38.489827	-85.421307                                                                                                                 
KY	21007	State Senate District 7	2365334176	34520488	913.261	13.328	38.229609	-85.151261                                                                                                                
KY	21008	State Senate District 8	2327357644	85551491	898.598	33.032	37.693723	-87.077058                                                                                                                
KY	21009	State Senate District 9	4423127714	74073513	1707.779	28.6	37.147716	-85.984954                                                                                                                 
KY	21010	State Senate District 10	1636700485	20004968	631.934	7.724	37.705458	-85.957797                                                                                                                
KY	21011	State Senate District 11	422905918	23928424	163.285	9.239	39.019875	-84.745459                                                                                                                 
KY	21012	State Senate District 12	1669131867	23195054	644.455	8.956	37.823865	-84.822279                                                                                                                
KY	21013	State Senate District 13	70985939	735668	27.408	0.284	38.028361	-84.494532                                                                                                                     
